cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2750ps,other_out_2750ps,margin_2750ps,correct_2750ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3150ps,other_out_3150ps,margin_3150ps,correct_3150ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal
22,train,2,1,True,True,0.147805,0.140339,0.00746627,0.172103,0.180406,0.172065,0.180369,0.140337,0.147803,True,0.088823225,0.147805,0.140339,0.00746627,True,0.147804,0.140337,0.00746619,True,0.147802,0.140336,0.00746612,True,0.147801,0.140335,0.00746604,True,0.100577,0.0664234,0.148724,0.0395685,0.33748,0.337428,1.20241,0.000121815,1.04533
23,train,3,0,True,True,0.1348,0.141859,-0.00705915,0.158579,0.167453,0.158531,0.167407,0.134799,0.141858,False,0.107919,0.1348,0.141859,-0.00705915,False,0.134799,0.141858,-0.00705908,False,0.134797,0.141856,-0.00705901,False,0.134796,0.141855,-0.00705893,False,0.182009,0.0592222,0.0948128,0.095632,0.337939,0.337862,1.20175,9.1047e-05,0.0439628
24,train,0,0,True,True,0.132043,0.139266,-0.00722319,0.15937,0.167951,0.159332,0.167912,0.132041,0.139264,False,0.09833259999999999,0.132043,0.139266,-0.00722319,False,0.132041,0.139264,-0.00722312,False,0.13204,0.139263,-0.00722305,False,0.132039,0.139262,-0.00722298,False,0.0562991,0.194355,0.0469687,0.0957076,0.337262,0.337215,1.20253,0.00012186,0.0170172
25,train,1,1,True,True,0.13805,0.130946,0.00710457,0.155891,0.16471,0.15585,0.164669,0.130944,0.138049,True,0.09362755,0.13805,0.130946,0.00710457,True,0.138049,0.130945,0.0071045,True,0.138048,0.130943,0.00710442,True,0.138046,0.130942,0.00710435,True,0.0605512,0.127544,-1.53029e-26,0.186415,0.337714,0.337651,1.20212,0.000110498,1.04533
26,train,2,1,True,True,0.147944,0.140467,0.00747662,0.17235,0.180647,0.172311,0.18061,0.140465,0.147942,True,0.08841360000000001,0.147944,0.140467,0.00747662,True,0.147942,0.140465,0.00747655,True,0.147941,0.140464,0.00747647,True,0.147939,0.140463,0.0074764,True,0.100397,0.0658845,0.148354,0.0390189,0.337463,0.337411,1.20241,0.000121719,1.04533
27,train,3,0,True,True,0.134704,0.141769,-0.00706536,0.158583,0.167464,0.158536,0.167418,0.134703,0.141768,False,0.1077879,0.134704,0.141769,-0.00706536,False,0.134703,0.141768,-0.00706529,False,0.134701,0.141767,-0.00706522,False,0.1347,0.141765,-0.00706515,False,0.182863,0.0585893,0.0944438,0.0952555,0.337908,0.33783,1.20176,9.15704e-05,0.0439628
28,train,0,0,True,True,0.132075,0.139315,-0.00723912,0.159616,0.168202,0.159578,0.168163,0.132074,0.139313,False,0.09792937500000001,0.132075,0.139315,-0.00723912,False,0.132074,0.139313,-0.00723905,False,0.132073,0.139312,-0.00723898,False,0.132071,0.13931,-0.0072389,False,0.0558356,0.194342,0.0465127,0.0950272,0.337241,0.337194,1.20253,0.000121722,0.0170172
29,train,1,1,True,True,0.138044,0.130858,0.00718595,0.15611,0.164936,0.15607,0.164895,0.130857,0.138043,True,0.093412475,0.138044,0.130858,0.00718595,True,0.138043,0.130857,0.00718588,True,0.138041,0.130856,0.00718581,True,0.13804,0.130854,0.00718573,True,0.0601039,0.12717,-1.58419e-26,0.186376,0.337704,0.337641,1.20211,0.000110133,1.04533
30,train,2,1,True,True,0.147892,0.140333,0.0075594,0.172599,0.180892,0.172561,0.180855,0.140331,0.14789,True,0.08799509999999999,0.147892,0.140333,0.0075594,True,0.14789,0.140331,0.00755933,True,0.147889,0.14033,0.00755925,True,0.147887,0.140328,0.00755917,True,0.1002,0.0653394,0.147978,0.038463,0.337446,0.337394,1.20242,0.000121617,1.04533
31,train,3,0,True,True,0.134652,0.141719,-0.00706707,0.158598,0.167484,0.158551,0.167438,0.13465,0.141717,False,0.10764789999999999,0.134652,0.141719,-0.00706707,False,0.13465,0.141717,-0.007067,False,0.134649,0.141716,-0.00706693,False,0.134648,0.141715,-0.00706686,False,0.183696,0.0579558,0.0940635,0.0948763,0.337876,0.337799,1.20177,9.20231e-05,0.0439628
32,train,0,0,True,True,0.132113,0.139368,-0.00725559,0.159866,0.168458,0.159828,0.16842,0.132111,0.139367,False,0.09751747499999999,0.132113,0.139368,-0.00725559,False,0.132111,0.139367,-0.00725551,False,0.13211,0.139366,-0.00725544,False,0.132109,0.139364,-0.00725537,False,0.0553675,0.194315,0.0460475,0.0943399,0.337221,0.337174,1.20254,0.000121577,0.0170172
33,train,1,1,True,True,0.138144,0.131011,0.00713306,0.156333,0.165166,0.156293,0.165126,0.13101,0.138142,True,0.093191475,0.138144,0.131011,0.00713306,True,0.138143,0.13101,0.00713299,True,0.138141,0.131008,0.00713292,True,0.13814,0.131007,0.00713285,True,0.0596509,0.126781,-1.70945e-26,0.186334,0.337694,0.33763,1.20211,0.00010976,1.04533
34,train,2,1,True,True,0.148165,0.140628,0.00753779,0.172852,0.18114,0.172815,0.181103,0.140626,0.148164,True,0.08756844999999999,0.148165,0.140628,0.00753779,True,0.148164,0.140626,0.00753772,True,0.148162,0.140625,0.00753764,True,0.148161,0.140623,0.00753757,True,0.0999864,0.0647882,0.147594,0.0379052,0.337429,0.337377,1.20242,0.00012151,1.04533
35,train,3,0,True,True,0.134522,0.141601,-0.00707878,0.158623,0.167513,0.158576,0.167467,0.134521,0.141599,False,0.1074984,0.134522,0.141601,-0.00707878,False,0.134521,0.141599,-0.00707871,False,0.134519,0.141598,-0.00707864,False,0.134518,0.141597,-0.00707857,False,0.184505,0.057322,0.093672,0.0944946,0.337844,0.337768,1.20179,9.24064e-05,0.0439628
36,train,0,0,True,True,0.132214,0.139474,-0.00725991,0.160121,0.168719,0.160084,0.168681,0.132213,0.139473,False,0.097096625,0.132214,0.139474,-0.00725991,False,0.132213,0.139473,-0.00725984,False,0.132212,0.139472,-0.00725977,False,0.132211,0.13947,-0.00725969,False,0.0548948,0.194273,0.0455728,0.0936459,0.3372,0.337154,1.20254,0.000121421,0.0170172
