vin,cint_f,gsum_siemens,vth_v,sigma_v,trials,fire_probability,tfire_mean_s,time_code_0_1,vint_end_mean,ecap_end_j_mean,source,simulator
0.12499999999999999,3e-14,1e-07,0.004,0.0,3,1.0,1.0109999999999998e-08,0.7567088607594936,0.0125083,7.82289e-19,spice,ngspice-46 : Circuit level simulation program
0.15,3e-14,1e-07,0.004,0.0,3,1.0,8.51e-09,0.7972151898734176,0.01501,1.1265e-18,spice,ngspice-46 : Circuit level simulation program
0.0,3e-14,1e-07,0.004,0.001,3,0.0,,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,3e-14,1e-07,0.004,0.001,3,1.0,2.6025833333333336e-08,0.35377637130801687,0.00250166,3.12916e-20,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,3e-14,1e-07,0.004,0.001,3,1.0,1.4676666666666665e-08,0.6410970464135021,0.00500333,1.25166e-19,spice,ngspice-46 : Circuit level simulation program
0.075,3e-14,1e-07,0.004,0.001,3,1.0,1.0405000000000001e-08,0.749240506329114,0.00750499,2.81624e-19,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,3e-14,1e-07,0.004,0.001,3,1.0,7.4925e-09,0.8229746835443038,0.0100067,5.00665e-19,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,3e-14,1e-07,0.004,0.001,3,1.0,7.0925e-09,0.8331012658227849,0.0125083,7.82289e-19,spice,ngspice-46 : Circuit level simulation program
0.15,3e-14,1e-07,0.004,0.001,3,1.0,5.2925e-09,0.8786708860759495,0.01501,1.1265e-18,spice,ngspice-46 : Circuit level simulation program
0.0,3e-14,1e-07,0.008,0.0,3,0.0,,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,3e-14,1e-07,0.008,0.0,3,0.0,,0.0,0.00250166,3.12916e-20,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,3e-14,1e-07,0.008,0.0,3,0.0,,0.0,0.00500333,1.25166e-19,spice,ngspice-46 : Circuit level simulation program
0.075,3e-14,1e-07,0.008,0.0,3,0.0,,0.0,0.00750499,2.81624e-19,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,3e-14,1e-07,0.008,0.0,3,1.0,2.451e-08,0.3921518987341772,0.0100067,5.00665e-19,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,3e-14,1e-07,0.008,0.0,3,1.0,1.971e-08,0.5136708860759494,0.0125083,7.82289e-19,spice,ngspice-46 : Circuit level simulation program
0.15,3e-14,1e-07,0.008,0.0,3,1.0,1.651e-08,0.5946835443037974,0.01501,1.1265e-18,spice,ngspice-46 : Circuit level simulation program
0.0,3e-14,1e-07,0.008,0.001,3,0.0,,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,3e-14,1e-07,0.008,0.001,3,0.0,,0.0,0.00250166,3.12916e-20,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,3e-14,1e-07,0.008,0.001,3,0.0,,0.0,0.00500333,1.25166e-19,spice,ngspice-46 : Circuit level simulation program
0.075,3e-14,1e-07,0.008,0.001,3,1.0,2.5820833333333332e-08,0.3589662447257384,0.00750499,2.81624e-19,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,3e-14,1e-07,0.008,0.001,3,1.0,2.0815e-08,0.4856962025316456,0.0100067,5.00665e-19,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,3e-14,1e-07,0.008,0.001,3,1.0,1.578166666666667e-08,0.6131223628691983,0.0125083,7.82289e-19,spice,ngspice-46 : Circuit level simulation program
0.15,3e-14,1e-07,0.008,0.001,3,1.0,1.3892499999999999e-08,0.6609493670886075,0.01501,1.1265e-18,spice,ngspice-46 : Circuit level simulation program
