experiment,theta_p,theta_n,act,pre,delta,write_width_u,write_mode,write_state_gate_mode,initial_pos_response,initial_neg_score,initial_neg_response,final_pos_response,final_neg_score,final_neg_response,initial_signed_response,final_signed_response,signed_read_delta,desired_signed_read_delta,wp_before,wn_before,wp_after,wn_after,wp_state_delta,wn_state_delta,signed_state_delta,pair_action_sign_aligned
pair_action_increase,0.24,0.1,0.75,0.65,1.0,0.0008,bounded_charge_discharge,none,0.112834,0.299869,0.000130931,0.115591,0.299737,0.000262981,0.112703,0.115328,0.00262507,0.00262507,0.24,0.1,0.242921,0.0998904,0.00292056,-0.000109542,0.00303011,True
pair_action_decrease,0.24,0.1,0.75,0.65,1.0,0.0008,bounded_charge_discharge,none,0.112834,0.299869,0.000130931,0.112583,0.299737,0.000262981,0.112703,0.11232,-0.00038237,0.00038237,0.24,0.1,0.239735,0.101311,-0.00026515,0.00131127,-0.00157642,True
pair_action_increase,0.24,0.13,0.75,0.65,1.0,0.0008,bounded_charge_discharge,none,0.112834,7.61178e-15,0.3,0.115591,6.12818e-09,0.3,-0.187166,-0.184409,0.00275713,0.00275713,0.24,0.13,0.242921,0.129129,0.00292056,-0.000871102,0.00379167,True
pair_action_decrease,0.24,0.13,0.75,0.65,1.0,0.0008,bounded_charge_discharge,none,0.112834,7.61178e-15,0.3,0.112583,1.8666e-18,0.3,-0.187166,-0.187417,-0.00025032,0.00025032,0.24,0.13,0.239735,0.13055,-0.00026515,0.000549736,-0.000814886,True
pair_action_increase,0.24,0.16,0.75,0.65,1.0,0.0008,bounded_charge_discharge,none,0.112834,1.01665e-90,0.3,0.115591,-1.4651e-89,0.3,-0.187166,-0.184409,0.00275712,0.00275712,0.24,0.16,0.242921,0.158407,0.00292056,-0.00159282,0.00451339,True
pair_action_decrease,0.24,0.16,0.75,0.65,1.0,0.0008,bounded_charge_discharge,none,0.112834,1.01665e-90,0.3,0.112583,1.46104e-90,0.3,-0.187166,-0.187417,-0.00025032,0.00025032,0.24,0.16,0.239735,0.159832,-0.00026515,-0.000168064,-9.70854e-05,True
pair_action_increase,0.24,0.24,0.75,0.65,1.0,0.0008,bounded_charge_discharge,none,0.112834,5.18345e-123,0.3,0.115591,8.8279e-122,0.3,-0.187166,-0.184409,0.00275712,0.00275712,0.24,0.24,0.242921,0.236679,0.00292056,-0.00332101,0.00624157,True
pair_action_decrease,0.24,0.24,0.75,0.65,1.0,0.0008,bounded_charge_discharge,none,0.112834,5.18345e-123,0.3,0.112583,4.05445e-122,0.3,-0.187166,-0.187417,-0.000250323,0.000250323,0.24,0.24,0.239735,0.238123,-0.00026515,-0.00187733,0.00161218,True
pair_action_increase,0.34,0.1,0.75,0.65,1.0,0.0008,bounded_charge_discharge,none,0.207398,0.299869,0.000130931,0.208326,0.299737,0.000262981,0.207267,0.208063,0.000796385,0.000796385,0.34,0.1,0.34098,0.0998904,0.000980214,-0.000109542,0.00108976,True
pair_action_decrease,0.34,0.1,0.75,0.65,1.0,0.0008,bounded_charge_discharge,none,0.207398,0.299869,0.000130931,0.205551,0.299737,0.000262981,0.207267,0.205288,-0.00197862,0.00197862,0.34,0.1,0.33805,0.101311,-0.00194955,0.00131127,-0.00326082,True
