cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
0,initial_eval,0,0,False,False,0.155515,0.162827,-0.00731246,0.190528,0.198067,0.00659575,0.00632697,0.15551,0.162822,False,0.0366786875,0.0291262,0.0798826,-2.45714e-39,0.0836267,-2.28616e-101,0.0433731,0.0252852,0.0321357,0.336078,0.336067,1.21817,1.21808
1,initial_eval,1,0,False,False,0.135733,0.143088,-0.00735529,0.162897,0.171739,0.00841478,0.00817197,0.135725,0.14308,False,0.06610110875,0.0924833,0.0926472,0.00352607,0.157158,0.0164841,0.0829952,0.0464001,0.0371149,0.338447,0.338332,1.20768,1.20754
2,initial_eval,2,0,False,False,0.121588,0.127659,-0.00607157,0.089628,0.0939248,0.0146373,0.0145864,0.121581,0.127652,False,0.154051125,0.198473,0.143974,0.143426,0.170312,0.12189,0.141718,0.152402,0.160214,0.342939,0.342758,1.19738,1.19719
3,initial_eval,3,0,False,False,0.155984,0.163222,-0.0072383,0.190838,0.198315,-0.00145204,-0.00169875,0.155976,0.163214,False,0.05048005,0.0420594,0.0714774,0.0438341,0.0682533,0.019939,0.0613057,0.0461494,0.0508221,0.336047,0.336043,1.18669,1.18645
4,initial_eval,4,0,False,False,0.148241,0.155375,-0.00713433,0.181213,0.188709,0.000971416,0.000756483,0.148232,0.155366,False,0.0641352,0.0736042,0.0476224,0.0982556,0.0371843,0.0488761,0.0558145,0.0796561,0.0720684,0.337172,0.337181,1.17633,1.17603
5,initial_eval,5,0,False,False,0.151707,0.158884,-0.0071775,0.185728,0.193213,-0.00157464,-0.00177947,0.151698,0.158875,False,0.059028287500000005,0.0704647,0.0674802,0.0705099,0.0322011,0.0354951,0.0517586,0.0684343,0.0758824,0.336589,0.336591,1.16597,1.16562
6,initial_eval,6,1,False,False,0.116876,0.111804,0.00507153,0.09739,0.0997425,0.00617241,0.00609772,0.111798,0.116869,True,0.25521900000000003,0.266947,0.262346,0.216663,0.287739,0.241823,0.236941,0.266947,0.262346,0.337469,0.337439,1.156,1.15562
7,initial_eval,7,1,False,False,0.11735,0.112339,0.00501138,0.097389,0.0997415,0.00617262,0.00609793,0.112333,0.117344,True,0.255216125,0.266944,0.262343,0.216661,0.287736,0.24182,0.236938,0.266944,0.262343,0.337469,0.337439,1.14624,1.14583
8,initial_eval,8,1,False,False,0.144925,0.138061,0.0068633,0.158531,0.166605,0.00666137,0.00638257,0.138054,0.144917,True,0.0863468125,0.0866501,0.120019,0.0915246,0.0536754,0.0665214,0.0598201,0.116878,0.0956859,0.339901,0.339868,1.13943,1.13939
9,initial_eval,9,1,False,False,0.114447,0.109384,0.00506269,0.0973871,0.0997396,0.00617302,0.00609833,0.109378,0.11444,True,0.25521175,0.26694,0.262338,0.216657,0.287731,0.241816,0.236934,0.26694,0.262338,0.337469,0.337439,1.13993,1.13993
