cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2750ps,other_out_2750ps,margin_2750ps,correct_2750ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3150ps,other_out_3150ps,margin_3150ps,correct_3150ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal
52,train,0,0,True,True,0.0106005,0.011602,-0.00100156,0.0415591,0.0425942,0.0415635,0.0425986,0.0106678,0.0116697,False,0.0949807,0.0106005,0.011602,-0.00100156,False,0.0106623,0.0116641,-0.00100184,False,0.0107132,0.0117152,-0.00100206,False,0.0107282,0.0117298,-0.00100166,False,0.0526058,0.193873,0.0432173,0.0902267,1.03025,0.99881,1.16469e-09,1.2,1.04533
53,train,1,1,True,True,0.0102274,0.00911059,0.00111681,0.0400694,0.0412251,0.0400803,0.0412363,0.00918886,0.0103064,True,0.091761075,0.0102274,0.00911059,0.00111681,True,0.0102999,0.00918243,0.00111746,True,0.0103596,0.00924163,0.00111797,True,0.0103788,0.00926228,0.00111648,True,0.0567183,0.124228,-1.45766e-26,0.186098,1.07071,1.03962,1.2,1.16469e-09,1.04533
54,train,2,1,True,True,0.00232411,0.00266092,-0.000336814,0.033282,0.0329157,0.033288,0.0329214,0.00271249,0.00237231,False,0.084769875,0.00232411,0.00266092,-0.000336814,False,0.00236827,0.00270818,-0.000339915,False,0.00240601,0.00274835,-0.000342345,False,0.00241762,0.00276051,-0.000342889,False,0.0982227,0.0612627,0.145118,0.0344761,1.18618,1.18905,1.2,1.16471e-09,1.04533
55,train,3,0,True,True,0.00702077,0.00711784,-9.70617e-05,0.0378633,0.0379703,0.0378698,0.0379773,0.0070881,0.00718663,False,0.106315875,0.00702077,0.00711784,-9.70617e-05,False,0.00708255,0.00718097,-9.8415e-05,False,0.00713373,0.00723321,-9.94846e-05,False,0.00714831,0.00724802,-9.97123e-05,False,0.188632,0.0534403,0.0910881,0.0921031,1.1215,1.11941,1.2,1.1647e-09,0.0389074
56,train,0,0,True,True,0.0111499,0.0112221,-7.21458e-05,0.0421233,0.0422036,0.0421273,0.0422083,0.0112167,0.0112901,False,0.09433609999999999,0.0111499,0.0112221,-7.21458e-05,False,0.0112112,0.0112845,-7.33151e-05,False,0.0112616,0.0113359,-7.42604e-05,False,0.0112762,0.0113506,-7.43967e-05,False,0.051927,0.193696,0.0424988,0.0892226,1.01287,1.01049,1.20001,1.16467e-09,0.0129678
57,train,1,1,True,True,0.00978117,0.00965334,0.000127839,0.040628,0.0407656,0.0406386,0.0407768,0.00973123,0.00986039,True,0.09154419999999999,0.00978117,0.00965334,0.000127839,True,0.00985388,0.00972484,0.000129044,True,0.00991376,0.00978375,0.000130013,True,0.00993354,0.00980363,0.000129912,True,0.0562728,0.12385,-1.43955e-26,0.186054,1.05605,1.05239,1.2,1.16469e-09,1.04533
58,train,2,1,True,True,0.00196513,0.00279797,-0.000832837,0.0334244,0.0325382,0.0334304,0.0325442,0.00284972,0.00201215,False,0.08429320000000001,0.00196513,0.00279797,-0.000832837,False,0.0020082,0.0028454,-0.000837193,False,0.00204514,0.0028857,-0.000840562,False,0.00205667,0.00289782,-0.000841145,False,0.0978852,0.0606797,0.144689,0.0339189,1.18497,1.19167,1.16471e-09,1.2,0.0276625
59,train,3,0,True,True,0.00714417,0.00706387,8.02931e-05,0.0379913,0.0379161,0.0379977,0.0379231,0.00721162,0.00713298,True,0.1061987,0.00714417,0.00706387,8.02931e-05,True,0.00720607,0.00712729,7.87799e-05,True,0.00725732,0.00717974,7.75725e-05,True,0.00727189,0.00719464,7.72473e-05,True,0.188973,0.0530949,0.0908384,0.0918885,1.11894,1.12051,1.2,1.1647e-09,0.0223948
60,train,0,0,True,True,0.0112352,0.0110973,0.000137818,0.042211,0.0420757,0.042215,0.0420804,0.0113018,0.0111655,True,0.09407675000000001,0.0112352,0.0110973,0.000137818,True,0.0112964,0.0111599,0.000136444,True,0.0113467,0.0112114,0.000135329,True,0.0113614,0.0112263,0.000135063,True,0.0516557,0.193619,0.042214,0.0888183,1.01067,1.0149,1.16469e-09,1.2,1.04533
61,train,1,1,True,True,0.0100798,0.00935446,0.000725296,0.0403205,0.0410733,0.0403313,0.0410845,0.00943258,0.0101589,True,0.091292425,0.0100798,0.00935446,0.000725296,True,0.0101524,0.00942617,0.000726196,True,0.0102122,0.00948525,0.000726911,True,0.0102316,0.00950567,0.000725942,True,0.0557437,0.123401,-1.36483e-26,0.186025,1.0642,1.04389,1.2,1.16469e-09,1.04533
