cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
42,train,2,1,True,True,0.336895,0.314519,0.0223751,0.226451,0.263032,0.010951,0.00690059,0.314502,0.336876,True,0.09222215,0.0980319,0.0617947,0.145107,0.035061,0.0813047,0.0809249,0.117975,0.117578,0.336779,0.336052,0.00314793,0.00332345
43,train,3,0,True,True,0.321492,0.322252,-0.000760838,0.281145,0.244761,0.0101365,0.0112257,0.321474,0.322235,False,0.0880211375,0.185805,0.0541972,0.0914441,0.0921505,0.0506835,0.111395,0.0715446,0.0469492,0.33285,0.333904,0.00311773,0.00323804
44,train,0,0,True,True,0.324888,0.313333,0.0115543,0.281625,0.23304,0.00468713,0.00766427,0.32487,0.313316,True,0.08648259999999999,0.0522527,0.192565,0.0428714,0.0897499,0.0441007,0.06141,0.122137,0.0867741,0.333954,0.33588,0.00314151,0.00322171
45,train,1,1,True,True,0.336624,0.304552,0.0320718,0.252655,0.32255,0.0169658,0.0198254,0.304535,0.336605,True,0.06606443749999999,0.0562567,0.123491,-1.44793e-26,0.184782,0.0065767,0.0705282,0.0409943,0.0458866,0.331925,0.327631,0.00309396,0.0032745
46,train,2,1,True,True,0.33038,0.308334,0.0220458,0.221014,0.257332,0.011045,0.00698209,0.308317,0.330361,True,0.0916967125,0.0975439,0.0610047,0.144487,0.034305,0.081008,0.0805661,0.117557,0.117102,0.336776,0.336036,0.00308849,0.00326187
47,train,3,0,True,True,0.319194,0.323071,-0.00387622,0.275447,0.238048,0.00355691,0.00922462,0.319177,0.323053,False,0.08763298750000001,0.186467,0.05335,0.090825,0.0915765,0.0502072,0.111284,0.0711589,0.0461953,0.334309,0.335495,0.00310724,0.00323859
48,train,0,0,True,True,0.31617,0.30367,0.0125001,0.275404,0.226894,0.00514198,0.00794699,0.316153,0.303653,True,0.08605384999999999,0.0515728,0.192272,0.0421578,0.0887665,0.0437689,0.0606255,0.123308,0.0859593,0.333903,0.335889,0.0030661,0.00312205
49,train,1,1,True,True,0.329645,0.296662,0.0329821,0.246831,0.317053,0.0178284,0.0241344,0.296646,0.329626,True,0.06555527375,0.0555725,0.122876,-1.42227e-26,0.184592,0.00617139,0.0694396,0.0407788,0.0450119,0.331641,0.327038,0.00303214,0.00322147
50,train,2,1,True,True,0.322388,0.298607,0.023781,0.215702,0.251755,0.0111351,0.00706495,0.298591,0.32237,True,0.0911586125,0.0970256,0.0602062,0.143853,0.0335474,0.0807014,0.0802113,0.117122,0.116602,0.336773,0.336019,0.00303645,0.00318333
51,train,3,0,True,True,0.312892,0.316481,-0.00358895,0.269846,0.231453,0.00389577,0.00967102,0.312875,0.316464,False,0.0872355125,0.187093,0.0525032,0.0901886,0.0909994,0.0497251,0.111174,0.0707675,0.0454333,0.334241,0.335471,0.0030486,0.00317637
52,train,0,0,True,True,0.310737,0.301289,0.00944806,0.269307,0.22082,0.00560856,0.00823344,0.31072,0.301272,True,0.08561455,0.0508845,0.191957,0.0414422,0.0877743,0.0434443,0.059837,0.124451,0.0851261,0.333845,0.335897,0.00301737,0.00308072
53,train,1,1,True,True,0.319813,0.283986,0.0358268,0.241083,0.311618,0.0187216,0.0286576,0.28397,0.319795,True,0.06504442125000001,0.0548802,0.12226,-1.39663e-26,0.184405,0.00576247,0.0683453,0.0405725,0.0441299,0.331363,0.326508,0.00293207,0.00311233
54,train,2,1,True,True,0.318872,0.297878,0.0209939,0.210521,0.246302,0.0112197,0.00714931,0.297862,0.318855,True,0.0906075375,0.0964759,0.0593991,0.143206,0.032788,0.0803848,0.0798605,0.116669,0.116077,0.336767,0.336,0.0029974,0.00314589
55,train,3,0,True,True,0.306669,0.309985,-0.00331674,0.264339,0.224976,0.00424487,0.0101156,0.306652,0.309968,False,0.08682857499999999,0.187683,0.0516566,0.0895344,0.0904195,0.0492368,0.111065,0.0703702,0.0446631,0.334168,0.335443,0.00299095,0.0031154
56,train,0,0,True,True,0.303567,0.293093,0.0104745,0.263351,0.214826,0.00608887,0.00852262,0.303551,0.293077,True,0.085164425,0.0501876,0.191618,0.0407251,0.0867732,0.0431273,0.0590443,0.125566,0.0842739,0.333779,0.335903,0.00295888,0.00301594
57,train,1,1,True,True,0.313671,0.278163,0.0355078,0.235408,0.306246,0.0196495,0.0331051,0.278148,0.313654,True,0.06453203625,0.0541796,0.121642,-1.37099e-26,0.184223,0.00535049,0.067245,0.040376,0.0432402,0.33109,0.321572,1.23721e-44,0.00305256
58,train,2,1,True,True,0.312592,0.291884,0.0207077,0.205473,0.240969,0.0112951,0.00723203,0.291868,0.312575,True,0.090043625,0.0958981,0.0585837,0.142544,0.032027,0.080058,0.0795142,0.116198,0.115526,0.336759,0.33598,0.00294052,0.00308649
59,train,3,0,True,True,0.297632,0.297728,-9.67104e-05,0.258926,0.218614,0.00460496,0.0105521,0.297615,0.297712,False,0.086411975,0.188235,0.0508104,0.0888624,0.0898368,0.0487424,0.110957,0.069967,0.0438848,0.334089,0.335412,0.00289986,0.0030049
60,train,0,0,True,True,0.300287,0.291621,0.00866599,0.257543,0.208918,0.00658621,0.00881494,0.300271,0.291605,True,0.084703675,0.0494817,0.191257,0.0400063,0.0857633,0.0428185,0.0582474,0.126652,0.0834032,0.333701,0.335909,0.00291107,0.00299523
