cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
87,train,3,0,True,True,0.115053,0.110911,0.00414212,0.141935,0.125684,0.00772801,0.0073391,0.115046,0.110905,True,0.091449025,0.177603,0.0625872,0.0966988,0.0976793,0.0551206,0.112816,0.0751107,0.0539766,0.33777,0.340596,0.948497,0.866034,0.0,0.00526924,0.00112712,0.0213857,0.000528656,0.0213857,2.68062e-07
88,train,0,0,True,True,0.115841,0.107679,0.00816197,0.144379,0.124871,0.00747508,0.00753146,0.115835,0.107673,True,0.09055662499999999,0.058758,0.194411,0.0493318,0.0992171,0.0478303,0.0691699,0.111594,0.0941409,0.337254,0.340311,1.19999,0.833425,0.0,0.00967921,0.00151724,0.00502693,0.000770028,0.00502693,2.68062e-07
89,train,1,1,True,True,0.120445,0.106563,0.0138823,0.134109,0.152912,0.0264495,0.0331206,0.106557,0.120438,True,0.07118542500000001,0.0629086,0.129418,-3.358e-26,0.186787,0.0107368,0.0814748,0.0435716,0.0545866,0.340075,0.331003,0.807766,1.2,0.0,0.0149027,0.00102048,0.00423734,0.000428662,0.00423734,2.68062e-07
90,train,2,1,True,True,0.106603,0.104409,0.00219466,0.118498,0.115234,0.0145512,0.0103671,0.104403,0.106598,True,0.0967663875,0.101393,0.0689978,0.150521,0.0421503,0.0841963,0.0845967,0.121197,0.121079,0.340322,0.342038,0.853203,0.979164,0.0,0.00263991,0.000445253,0.00819293,0.000712844,0.00819293,2.68061e-07
91,train,3,0,True,True,0.114035,0.109812,0.00422331,0.140771,0.124419,0.00777981,0.00737085,0.114029,0.109806,True,0.0914484125,0.177603,0.0625863,0.0966982,0.0976786,0.0551201,0.112815,0.0751102,0.0539759,0.337773,0.340612,0.956003,0.862542,0.0,0.00512935,0.000906037,0.0210184,0.000498747,0.0210184,2.68061e-07
92,train,0,0,True,True,0.114801,0.106609,0.00819162,0.143265,0.123667,0.00750914,0.00756395,0.114794,0.106603,True,0.0905561875,0.0587573,0.194411,0.0493311,0.0992161,0.0478298,0.0691691,0.111595,0.0941401,0.337257,0.340327,1.2,0.826435,0.0,0.00947594,0.00128433,0.00209316,0.000749571,0.00209316,2.68061e-07
93,train,1,1,True,True,0.119267,0.105556,0.0137102,0.132983,0.151659,0.0265293,0.0332114,0.105551,0.11926,True,0.07118475,0.0629079,0.129417,-3.35795e-26,0.186786,0.0107363,0.0814738,0.0435712,0.0545858,0.340108,0.330739,0.80063,1.2,0.0,0.014722,0.00101183,0.00181406,0.000404003,0.00181406,2.68061e-07
94,train,2,1,True,True,0.105506,0.103403,0.00210248,0.117268,0.114,0.0145782,0.0103882,0.103398,0.1055,True,0.09676583750000001,0.101392,0.068997,0.150521,0.0421496,0.0841959,0.0845962,0.121196,0.121079,0.340344,0.34206,0.842431,1.09888,0.0,0.00253679,0.000434312,0.00809986,0.000695003,0.00809986,2.68061e-07
95,train,3,0,True,True,0.11302,0.108735,0.00428544,0.139615,0.123182,0.00780894,0.00740215,0.113014,0.108729,True,0.0914479125,0.177603,0.0625854,0.0966976,0.0976779,0.0551196,0.112815,0.0751097,0.0539751,0.337777,0.340628,0.965327,0.85859,0.0,0.00517223,0.000886789,0.0206514,0.000470105,0.0206514,2.6806e-07
96,train,0,0,True,True,0.113779,0.10556,0.00821944,0.142173,0.122489,0.0075427,0.00759599,0.113773,0.105554,True,0.0905555375,0.0587567,0.19441,0.0493305,0.0992151,0.0478292,0.0691684,0.111595,0.0941394,0.33726,0.340343,1.2,0.818303,0.0,0.00949088,0.00127144,0.000703512,0.000729935,0.000729935,2.6806e-07
97,train,1,1,True,True,0.118111,0.104569,0.013542,0.13188,0.150434,0.0266078,0.0333002,0.104563,0.118105,True,0.07118418750000001,0.0629072,0.129417,-3.35791e-26,0.186785,0.0107358,0.0814727,0.0435708,0.054585,0.340141,0.330478,0.791498,1.2,0.0,0.0145447,0.00100261,0.00175204,0.000380369,0.00175204,2.6806e-07
98,train,2,1,True,True,0.104433,0.102418,0.00201483,0.116063,0.112801,0.0146049,0.0104087,0.102413,0.104427,True,0.09676526249999999,0.101392,0.0689962,0.15052,0.0421488,0.0841954,0.0845957,0.121196,0.121078,0.340367,0.34208,0.817293,1.2,0.0,0.00243837,0.000423539,0.008004,0.000677886,0.008004,2.6806e-07
