image_size,block_size,stride,blocks,shared_channels,private_channels,channels,local_features,train_samples,test_samples,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,seed,epoch,test_accuracy,test_correct,trial_wall_time_s,weight_sharing,shared_weight_values,shared_bias_values,private_weight_values,private_bias_values,readout_values,output_bias_values,train_state_values,gradient_state_values,temporary_state_values,phase_state_values,expanded_weight_equivalent_values,multiply_terms_per_sample
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,43,0.882,882,9.545337292,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,44,0.886,886,9.974376082999996,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,45,0.882,882,10.324166374999997,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,46,0.888,888,10.622820874999995,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,47,0.888,888,10.959931624999996,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,48,0.88,880,11.290534625,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,49,0.883,883,11.591791457999996,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,50,0.886,886,11.842477457999998,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,51,0.884,884,12.070349749999998,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,52,0.883,883,12.308420124999998,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,53,0.887,887,12.53902,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,54,0.878,878,12.775538374999996,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,55,0.881,881,13.085083791999999,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,56,0.889,889,13.345868249999995,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,57,0.879,879,13.712300333000002,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,58,0.88,880,14.014101916999998,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,59,0.889,889,14.369503125000001,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,60,0.874,874,14.676004917,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
